04/06/2025 07:52:01:965 --> 07:52:01	 Connection error: TCP : Connection Error
08/09/2025 16:01:16:685 --> 16:01:16	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 16:01:22:010 --> 16:01:22	Connect => IP:192.168.6.31
08/09/2025 16:03:03:377 --> 16:03:03	Attiva Service
08/09/2025 16:03:03:708 --> 16:03:03	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 16:10:14:862 --> 16:10:14	Attiva Service
08/09/2025 16:10:15:197 --> 16:10:15	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 16:13:17:092 --> 16:13:17	Attiva Service
08/09/2025 16:13:17:480 --> 16:13:17	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
08/09/2025 16:36:08:197 --> 16:36:08	Attiva Service
08/09/2025 16:36:08:585 --> 16:36:08	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
09/09/2025 09:39:20:946 --> 09:39:20	Attiva Service
09/09/2025 09:39:21:260 --> 09:39:21	 Connection error: An error occurred trying to start process '\' with working directory 'C:\Work\EasyHMI\DriverXNet\SimpleHmi\bin\Debug\net8.0-windows'. Accesso negato.
